tid[s],Ovn-Temp,Komperator
0,52.567989999999995,0.06
0.001,50.09333,-0.01733333
0.002,50.49599,0.07133333
0.003,50.13598999999999,-0.006
0.004,49.95733,0.09333333
0.005,49.86666,-0.05066667
0.006,50.49599,-0.01733333
0.007,52.20799,0.04933333
0.008,49.95733,-0.006
0.009000000000000001,51.26133,0.1266667
0.010000000000000002,46.581329999999994,0.004666667
0.011000000000000003,49.912,-0.006
0.012000000000000004,51.12799,0.1373333
0.013000000000000005,50.85598999999999,0.06
0.014000000000000005,48.56266,-0.05066667
0.015000000000000006,54.096,0.09333333
0.016000000000000007,47.752,-0.05066667
0.017000000000000008,52.117329999999995,0.1046667
0.01800000000000001,48.831999999999994,-0.03933333
0.01900000000000001,51.487989999999996,0.07133333
0.02000000000000001,52.522670000000005,0.004666667
0.02100000000000001,52.38667,0.1373333
0.022000000000000013,48.336,-0.006
0.023000000000000013,50.63199,0.016
0.024000000000000014,47.30133,0.004666667
0.025000000000000015,47.57333,-0.05066667
0.026000000000000016,46.85333,0.02666667
0.027000000000000017,49.14666,0.004666667
0.028000000000000018,53.96267,0.1153333
0.02900000000000002,47.752,0.06
0.03000000000000002,49.733329999999995,-0.006
0.03100000000000002,49.82133,-0.05066667
0.03200000000000002,47.34666,-0.006
0.03300000000000002,49.687999999999995,0.06
0.03400000000000002,50.13598999999999,-0.05066667
0.035000000000000024,52.026669999999996,0.02666667
0.036000000000000025,50.58666,0.1373333
0.037000000000000026,47.032000000000004,-0.07266667
0.03800000000000003,48.56266,-0.06133333
0.03900000000000003,53.512,0.06
0.04000000000000003,49.14666,-0.084
0.04100000000000003,48.336,-0.05066667
0.04200000000000003,48.38133,0.004666667
0.04300000000000003,50.362660000000005,-0.01733333
0.04400000000000003,51.53333,0.004666667
0.04500000000000003,53.55733,0.016
0.046000000000000034,53.602669999999996,0.06
0.047000000000000035,47.34666,-0.03933333
0.048000000000000036,53.376,0.038
0.04900000000000004,52.47733,0.02666667
0.05000000000000004,54.727999999999994,0.06
0.05100000000000004,49.46133,-0.07266667
0.05200000000000004,47.032000000000004,-0.05066667
0.05300000000000004,49.28266,-0.05066667
0.05400000000000004,52.613330000000005,0.016
0.05500000000000004,54.861329999999995,0.16
0.05600000000000004,49.912,-0.106
0.057000000000000044,48.02133,0.004666667
0.058000000000000045,50.04799,-0.006
0.059000000000000045,50.90133,0.09333333
0.060000000000000046,52.026669999999996,0.016
0.06100000000000005,52.92799,0.016
0.06200000000000005,52.25333,-0.02866667
0.06300000000000004,50.63199,-0.02866667
0.06400000000000004,51.802659999999996,0.04933333
0.06500000000000004,52.117329999999995,0.082
0.06600000000000004,48.831999999999994,0.004666667
0.06700000000000005,50.13598999999999,0.02666667
0.06800000000000005,50.63199,0.038
0.06900000000000005,50.18133,0.06
0.07000000000000005,53.376,0.004666667
0.07100000000000005,49.775999999999996,-0.02866667
0.07200000000000005,46.71733,-0.09466667
0.07300000000000005,48.831999999999994,-0.03933333
0.07400000000000005,55.088,0.04933333
0.07500000000000005,50.18133,-0.084
0.07600000000000005,46.808,-0.06133333
0.07700000000000005,47.392,-0.1393333
0.07800000000000006,50.271989999999995,-0.02866667
0.07900000000000006,47.482659999999996,-0.05066667
0.08000000000000006,47.482659999999996,-0.006
