V,t
+4.970933e+00,0
+4.949333e+00,0.1
-7.440000e-02,0.2
-4.400000e-02,0.30000000000000004
-4.826667e-02,0.4
+4.975467e+00,0.5
+4.970933e+00,0.6
-4.826667e-02,0.7
-3.973334e-02,0.7999999999999999
-4.400000e-02,0.8999999999999999
+4.949333e+00,0.9999999999999999
+4.966667e+00,1.0999999999999999
-3.546667e-02,1.2
-3.973334e-02,1.3
-4.400000e-02,1.4000000000000001
+4.979733e+00,1.5000000000000002
+4.962400e+00,1.6000000000000003
-6.133333e-02,1.7000000000000004
-4.400000e-02,1.8000000000000005
-5.280000e-02,1.9000000000000006
+4.966667e+00,2.0000000000000004
+4.958133e+00,2.1000000000000005
-4.400000e-02,2.2000000000000006
-5.706667e-02,2.3000000000000007
-3.973334e-02,2.400000000000001
+4.970933e+00,2.500000000000001
+4.962400e+00,2.600000000000001
-3.973334e-02,2.700000000000001
-3.546667e-02,2.800000000000001
-5.280000e-02,2.9000000000000012
+4.966667e+00,3.0000000000000013
