tid[s],Ovn-Temp
0,59.71999
1.0,60.066660000000006
2.0,59.49333
3.0,60.40666
4.0,60.40666
5.0,61.553329999999995
6.0,59.49333
7.0,60.64
8.0,60.866659999999996
9.0,60.40666
10.0,61.09331999999999
11.0,60.979989999999994
12.0,60.18
13.0,60.979989999999994
14.0,60.18
15.0,61.09331999999999
16.0,60.64
17.0,60.18
18.0,61.786660000000005
19.0,60.64
20.0,60.753330000000005
21.0,61.43999
22.0,61.21333
23.0,61.66665999999999
24.0,61.32666
25.0,61.32666
26.0,61.43999
27.0,61.21333
28.0,60.866659999999996
29.0,60.753330000000005
30.0,60.64
31.0,61.553329999999995
32.0,62.69999000000001
33.0,60.979989999999994
34.0,62.359989999999996
35.0,61.66665999999999
36.0,61.21333
37.0,61.553329999999995
38.0,62.013329999999996
39.0,60.753330000000005
40.0,62.359989999999996
41.0,62.013329999999996
42.0,62.013329999999996
43.0,61.32666
44.0,61.786660000000005
45.0,62.23999
46.0,62.23999
47.0,61.66665999999999
48.0,62.12666
49.0,62.23999
50.0,61.32666
51.0,62.23999
52.0,62.013329999999996
53.0,62.58666
54.0,63.49999
55.0,62.81333
56.0,61.553329999999995
57.0,63.160000000000004
58.0,64.30666000000001
59.0,62.58666
60.0,62.92666
61.0,62.58666
62.0,62.69999000000001
63.0,62.23999
64.0,63.49999
65.0,63.733329999999995
66.0,64.30666000000001
67.0,62.58666
68.0,64.30666000000001
69.0,63.84666
70.0,63.160000000000004
71.0,63.160000000000004
72.0,62.58666
73.0,63.38665999999999
74.0,63.160000000000004
75.0,63.733329999999995
76.0,63.733329999999995
77.0,63.733329999999995
78.0,64.19333
79.0,64.07332
80.0,64.99333
81.0,64.41999
82.0,64.53332999999999
83.0,63.38665999999999
84.0,63.38665999999999
85.0,64.30666000000001
86.0,64.64666
87.0,63.733329999999995
88.0,64.07332
89.0,64.41999
90.0,64.53332999999999
91.0,63.046659999999996
92.0,63.733329999999995
93.0,65.10666
94.0,63.62
95.0,65.10666
96.0,64.53332999999999
97.0,65.67999
98.0,64.64666
99.0,64.53332999999999
100.0,64.53332999999999
101.0,65.79333
102.0,65.10666
103.0,64.19333
104.0,64.30666000000001
105.0,65.33331999999999
106.0,65.21999000000001
107.0,65.45333
108.0,65.90665999999999
109.0,65.90665999999999
110.0,65.79333
111.0,65.21999000000001
112.0,64.64666
113.0,65.21999000000001
114.0,64.99333
115.0,64.88000000000001
116.0,65.79333
117.0,65.79333
118.0,66.02666
119.0,65.56666
120.0,66.02666
121.0,64.88000000000001
122.0,65.67999
123.0,66.59333
124.0,66.47999
125.0,66.02666
126.0,65.45333
127.0,65.67999
128.0,66.71333
129.0,66.47999
130.0,67.28666
131.0,66.25332999999999
132.0,66.14
133.0,66.14
134.0,65.67999
135.0,66.71333
136.0,66.71333
137.0,65.67999
138.0,66.02666
139.0,66.02666
140.0,66.71333
141.0,66.59333
142.0,65.67999
143.0,66.93999000000001
144.0,66.36666
145.0,66.59333
146.0,67.28666
147.0,66.71333
148.0,66.25332999999999
149.0,67.86
150.0,66.82666
151.0,67.86
152.0,66.25332999999999
153.0,67.28666
154.0,67.86
155.0,68.08666
156.0,67.16666
157.0,67.86
158.0,67.39999
159.0,66.36666
160.0,67.62666
161.0,67.16666
162.0,67.86
163.0,67.28666
164.0,67.28666
165.0,66.93999000000001
166.0,67.28666
167.0,67.86
168.0,67.39999
169.0,67.97332999999999
170.0,67.16666
171.0,66.71333
172.0,67.97332999999999
173.0,67.28666
174.0,67.62666
175.0,68.19999
176.0,68.19999
177.0,68.19999
178.0,68.54666
179.0,68.19999
180.0,68.65999000000001
181.0,67.62666
182.0,67.39999
183.0,68.65999000000001
184.0,68.19999
185.0,68.77333
186.0,68.42666
187.0,68.99999
188.0,69.34666
189.0,68.08666
190.0,69.12
191.0,68.99999
192.0,68.77333
193.0,68.99999
194.0,67.86
195.0,68.88665999999999
196.0,68.65999000000001
197.0,68.31332
198.0,68.77333
199.0,68.99999
200.0,69.23333000000001
201.0,68.88665999999999
202.0,68.77333
203.0,69.69333
204.0,68.65999000000001
205.0,68.99999
206.0,68.42666
207.0,69.34666
208.0,69.69333
209.0,70.03332
210.0,69.12
211.0,68.42666
212.0,68.31332
213.0,70.49333
214.0,69.69333
215.0,70.03332
216.0,70.25999
217.0,69.23333000000001
218.0,69.57332000000001
219.0,70.37999
220.0,70.49333
221.0,69.57332000000001
222.0,69.91999
223.0,70.60665999999999
224.0,70.25999
225.0,69.23333000000001
226.0,69.57332000000001
227.0,70.83333
228.0,70.60665999999999
229.0,70.25999
230.0,71.17999
231.0,68.54666
232.0,70.14666
233.0,70.14666
234.0,71.06666
235.0,70.71999
236.0,71.17999
237.0,69.69333
238.0,70.83333
239.0,72.09333
240.0,71.29332000000001
241.0,69.57332000000001
242.0,70.83333
243.0,69.91999
244.0,70.83333
245.0,70.49333
246.0,70.14666
247.0,69.91999
248.0,70.49333
