CH1V,CH2V
0.5481067,4.988667
0.5004534,5
0.5115733,4.908667
0.5570133,5.068667
0.5084533,4.874667
0.5218133,4.897334
0.4746133,4.874667
0.4764,4.966001
0.4973333,4.954667
0.4870933,4.966001
0.4558933,5
0.4746133,4.977334
0.46392,4.897334
0.5347466,4.908667
0.5111467,4.931334
0.53608,5.011334
0.5146933,5.023334
0.4634667,-0.016
0.4389867,-0.016
0.44832,0.07533334
0.4273867,0.006666667
0.4563467,-0.028
0.4839733,-0.05066667
0.4982133,0.02933334
0.4550133,-0.028
0.4487733,0.04066667
0.47016,0.006666667
0.48976,-0.016
0.4688267,-0.016
0.52584,-0.028
0.5449867,-0.016
0.54544,-0.028
0.5476533,0.132
0.54856,0.006666667
0.5654666,0.07533334
0.5859733,0.018
0.55344,0.018
0.5668,0.006666667
0.5654666,0.006666667
0.5654666,0.02933334
0.5824,0.04066667
0.61224,0.04066667
0.5570133,-0.07333334
0.65856,-0.028
0.6621333,-0.108
0.6950933,-0.028
0.7106934,4.954667
0.7146933,5.011334
0.7089067,5.046
0.7293867,5.023334
0.6652533,4.931334
0.6982133,4.943334
0.7374133,4.920001
0.7097867,5.057334
0.66392,4.943334
0.71112,4.988667
0.6594667,4.897334
0.7155733,4.908667
0.69776,5
0.6492267,4.897334
0.6794933,4.931334
0.6478667,4.943334
0.7262667,5.023334
0.7146933,4.920001
0.6697066,5.023334
0.7240533,5.023334
0.6603467,4.817334
0.6438667,4.886
0.6901867,5.023334
0.7066666,4.966001
0.69688,5
0.6808267,4.931334
0.6777333,5.057334
0.64744,4.851334
0.7022133,4.943334
0.6808267,4.966001
0.6826133,4.966001
0.67192,4.988667
0.6657067,4.966001
0.6794933,5.034667
0.6608,4.908667
0.63496,4.908667
0.66792,5
0.6625867,4.908667
0.6621333,5
0.6313866,4.988667
0.64832,4.988667
0.6568,5.057334
0.66792,4.851334
0.64832,4.886
0.6786133,4.977334
0.6412,4.886
0.65456,4.920001
0.6518933,4.874667
0.6590133,4.931334
0.6291733,5.057334
0.6238133,4.943334
0.6069067,4.931334
0.6367466,5.057334
0.6447733,4.897334
0.6242667,4.897334
0.6456533,4.943334
0.6327466,4.943334
0.6714934,5
0.6117867,4.943334
0.63496,4.943334
0.63408,5.103334
0.6176,4.897334
0.65056,5.034667
0.6131467,4.931334
0.65768,5.023334
0.6229333,5.034667
0.6260533,5.023334
0.6189333,4.943334
0.6296267,4.966001
0.6109067,5.011334
0.6140267,4.966001
0.6166933,5.126
0.5939733,5.023334
0.59488,4.988667
0.6452,5
0.6166933,5
0.6135733,4.977334
0.6069067,4.943334
0.5997866,4.943334
0.5788267,4.920001
0.5708266,5.023334
0.5841867,4.966001
0.5913067,4.931334
0.6176,4.988667
0.56504,4.943334
0.5904267,4.977334
0.6024534,4.954667
0.5734934,4.966001
0.59576,5.023334
0.57616,4.931334
0.5859733,4.908667
0.6242667,4.886
0.5935467,4.931334
0.5614667,4.943334
0.606,5.091334
0.5881867,4.920001
0.58952,4.977334
0.56592,4.966001
0.58776,4.897334
0.6073333,4.954667
0.5890933,4.943334
0.54632,4.977334
0.5743733,4.897334
0.5414133,5.034667
0.598,5.103334
0.5467733,4.988667
0.5984266,4.966001
0.5231733,4.954667
0.5984266,5.046
0.5436533,5
0.5748267,5.057334
0.5743733,5
0.5302933,5.023334
0.57528,4.966001
0.57528,5.126
0.6135733,5.126
0.57528,5.068667
0.61848,4.988667
0.69688,5.114667
0.6438667,5.046
0.6705866,4.988667
0.6804,5.023334
0.6661333,4.920001
0.6273867,4.908667
