CH1V,CH2V
0.5004534,4.931334
0.5347466,5.023334
0.6024534,4.886
0.6830667,4.931334
0.7066666,4.897334
0.7035466,4.908667
0.7004266,4.851334
0.7084534,4.886
-0.008213333,-0.028
0.006026667,0.04066667
-0.01490667,0.04066667
0.005146666,-0.08466668
0.01138667,-0.004666667
-0.01224,-0.07333334
-0.01712,0.1093333
0.01138667,0.1553333
-0.01266667,-0.06200001
-0.01624,0.064
0.0006933333,-0.05066667
-0.007786667,0.04066667
-0.01845333,0.018
0.00648,0.04066667
-0.02157333,0.04066667
0.00424,0.04066667
-0.00064,-0.05066667
-0.02336,-0.016
0.001573333,-0.2106667
-0.001973333,-0.108
0.001573333,-0.028
-0.00688,-0.09600001
-0.002426667,0.064
-0.009546666,-0.08466668
0.00736,0.144
0.006026667,0.052
0.008693334,0.064
0.0006933333,-0.016
-0.00688,-0.07333334
0.00248,-0.05066667
0.01138667,-0.05066667
0.002906667,0.07533334
0.00248,-0.016
-0.001546667,-0.05066667
0.003813333,0.052
-0.01624,-0.08466668
-0.01669333,-0.08466668
0.01584,0.02933334
-0.01890667,0.04066667
-0.01936,0.04066667
0.008266667,0.02933334
0.0006933333,0.006666667
-0.014,-0.08466668
-0.00288,-0.028
0.02296,0.132
-0.01490667,0.006666667
-0.008666666,-0.016
0.01048,-0.028
0.01005333,-0.004666667
0.58952,4.920001
0.6095733,4.966001
0.58464,5.023334
0.5944267,4.931334
0.57528,5
0.59176,5.011334
0.5810667,4.931334
0.5774933,5.046
0.5913067,5
0.57216,4.988667
0.56592,4.886
0.5543467,4.931334
0.60112,4.943334
0.61136,5.023334
0.5717067,5.023334
0.57616,4.874667
0.60912,4.897334
0.55032,4.851334
0.5347466,4.966001
0.5588,4.966001
0.5449867,5.011334
0.57528,4.817334
0.55256,4.977334
0.55656,4.886
0.57528,4.863334
0.5382934,4.988667
0.5623466,4.988667
0.53696,4.920001
0.5824,4.943334
0.5530133,4.966001
0.5392,4.908667
0.5774933,4.966001
0.5645866,4.931334
0.5766133,5.011334
0.5209333,4.988667
0.5824,5
0.50624,5
0.5044534,4.920001
0.5196,4.988667
0.53208,4.897334
0.53296,4.886
0.5316266,4.897334
0.51872,5.046
0.5414133,5
0.51872,4.954667
0.5396534,4.943334
0.5129067,4.931334
0.5467733,5.057334
0.5561333,4.943334
0.5592533,4.943334
0.51736,4.874667
0.5218133,5
0.5441067,4.988667
0.53696,5.08
0.53608,4.920001
0.5605867,4.931334
0.53696,4.908667
0.50712,4.908667
0.5111467,5.023334
0.50936,4.943334
0.55168,4.943334
0.5231733,5.034667
0.4808533,4.954667
0.4910933,5.023334
0.4777333,4.874667
0.5004534,5.046
0.51024,0.144
0.5169333,0.08666667
0.49288,-0.028
0.48752,0.018
0.48264,0.144
0.47952,0.04066667
0.4563467,-0.08466668
0.4492267,0.04066667
0.5044534,-0.028
0.46392,0.018
0.46392,0.098
0.4501067,0.006666667
0.44032,-0.028
0.43496,-0.028
0.4603467,0.04066667
0.4688267,-0.07333334
0.4287467,-0.016
0.3913067,-0.142
0.4046933,-0.07333334
0.4429867,-0.004666667
0.4086933,-0.222
0.4256267,-0.03933334
0.4487733,0.07533334
0.3730667,0.04066667
0.3708267,-0.05066667
0.4055733,0.04066667
0.3490133,-0.016
0.3672533,-0.016
0.3904267,-0.1306667
0.39176,-0.016
0.3904267,-0.016
0.3632533,0.02933334
0.3458933,0.02933334
0.3672533,0.018
0.3744,-0.016
0.3819733,-0.028
0.3873067,0.08666667
0.3427733,0.006666667
0.3245067,-0.03933334
0.38776,0.006666667
0.3436533,0.04066667
0.33832,0.064
0.34768,-0.05066667
0.3552267,-0.07333334
0.3565867,0.02933334
0.3833067,-0.016
0.3490133,-0.03933334
0.3312,-0.028
0.35792,0.1093333
0.3347467,-0.016
0.3637067,0.08666667
0.3356533,-0.05066667
